ax	ay	az	gx	gy	gz
14068	-2304	8436	-533	-385	-114
13356	-2160	8072	-245	-775	-138
14688	-2032	7600	-428	-1210	-381
14364	-2160	8308	-219	-699	-345
14488	-1740	8448	-668	-528	-120
14736	-1816	8132	-51	-605	6
15012	-1824	7444	78	-995	-81
14680	-1600	7968	106	-137	183
14384	-1596	9092	-334	240	623
14552	-1736	8120	-101	162	533
14904	-1664	7356	146	1277	524
14616	-2192	8260	-184	99	608
11900	-1636	11636	410	2251	164
14216	-1232	5688	-451	-3683	447
9216	-184	6476	-1658	-2538	-933
18480	-2420	5016	2193	-377	650
14144	-3120	7668	1846	-1325	1329
13408	-2204	7216	-25	1664	927
14900	-1596	7488	136	-19	377
13300	-2556	7680	-211	357	167
13944	-2268	8156	-180	-1639	92
14932	-2424	7040	-367	342	217
14048	-2252	7264	-42	-342	180
13624	-5160	1140	-347	-822	608
13068	-2584	4380	-411	157	132
13336	-2540	6168	-777	244	478
12696	-1880	15096	-5059	-5817	-1103
18148	-2052	4304	89	-12744	-2024
9480	-1376	-4228	1248	-19354	-220
20300	-2024	-8000	5179	2620	1194
11184	-612	7716	-3650	11412	893
16460	-3364	-1732	181	4310	716
17276	-656	1484	187	178	301
12768	-4168	8168	-2608	1899	-1914
19736	-1616	-40	527	-2060	435
20312	-2064	-920	-1273	-514	1077
18068	-1476	6376	2566	709	2023
15648	-3736	7220	-416	2278	-349
13248	-2444	4948	289	-960	148
14996	-2292	5920	-737	-1222	40
15348	-2488	3984	-727	-829	-230
16208	-3236	4448	-965	-2720	-412
15448	-3816	2608	-753	1056	-211
17068	-592	5972	-1044	1248	-980
16956	-1264	6876	-1638	7694	-428
16840	-3536	9212	-1130	12772	5788
18932	-5516	8612	-9916	9061	9286
8132	-10464	7816	-8523	23491	7426
3276	-6524	5916	8694	28566	1113
-1644	-3212	14272	3268	6565	84
8812	-5460	16620	-1341	-13397	817
3040	-8260	15524	229	-5976	-322
3108	-6200	15936	2498	1927	1012
21700	224	8816	5020	-2199	3290
10164	-6172	17340	-3111	-754	-22
5676	-2400	8464	-5735	-13531	-1202
9808	-6212	10128	-4740	-23923	-3849
13656	-7320	8704	2912	-5127	-4480
11052	-5520	6956	1999	-19596	-2049
16100	-3132	-200	-867	2330	676
15304	-4180	5272	-408	1871	580
14368	-4856	4848	814	-630	524
19472	-4824	1328	12	2770	196
14360	-5072	5444	-277	1644	283
12916	-1996	8572	1325	1611	602
14800	-4600	7312	-736	443	-256
14684	-5292	5572	334	-814	257
14108	-4172	6140	11	917	109
14520	-4912	7928	195	3862	359
14288	-4448	8148	-977	2434	780
14240	-4324	7056	-351	4442	1233
15768	-4904	7928	746	4104	2810
10168	-4900	10744	-2187	4584	2846
8920	-6012	12104	-1299	4557	2007
13708	-6848	14632	-3177	5390	4409
10544	-10240	13820	-5715	10866	10061
5480	-10232	11312	-4943	9160	12955
496	-10004	9220	-3720	8865	11050
-1788	-10384	8424	-2488	8446	8586
-3648	-9752	8664	-2750	8648	7052
-7148	-10456	8296	-2357	5878	4744
-7232	-10644	8484	-1556	2578	2882
-7580	-10856	7632	-650	3959	3326
-9236	-10128	7136	-551	3892	3529
-10184	-9752	6112	-1192	2417	1940
-10532	-9972	5916	-845	2683	1127
-10580	-9888	6064	-530	2070	954
